file,size_bytes,lines,title,has_doctype,has_meta_viewport,num_links,num_external_links,num_scripts,num_scripts_with_src,num_stylesheets,num_images
./About_Chat.html,23500,518,JCHAT - User Guide,yes,yes,1,0,1,0,2,0
./About_Us.html,40341,816,JCHAT - About Us,yes,yes,5,0,0,0,2,1
./Admin.html,54753,1251,JCHAT - Main Admin Dashboard,yes,yes,11,0,2,1,2,1
./Admin_Reports.html,83981,2025,JCHAT - Admin Reports,yes,yes,3,0,2,1,2,2
./Admin_Settings.html,76901,1799,JCHAT - System Settings,yes,yes,13,0,2,1,2,1
./Analytics.html,73629,1646,JCHAT - Admin Panel - Analytics,yes,yes,12,0,3,1,2,1
./Analytics_ashboard.html,50217,1255,JCHAT - Admin: Analytics Dashboard,yes,yes,11,0,1,0,2,1
./Chat.html,299865,6752,JCHAT - Private Chat,yes,yes,4,0,2,1,2,6
./Coin_management.html,143831,3068,JCHAT - Admin Dashboard,yes,yes,4,0,2,1,2,2
./Community_guidelines.html,54283,1125,JCHAT - Community Guidelines,yes,yes,9,0,2,1,2,1
./Content_Moderation.html,90277,2053,JCHAT - Admin Panel - Content Moderation,yes,yes,14,0,2,0,2,1
./Explore.html,5103,105,JCHAT - Explore,yes,yes,2,0,1,0,2,0
./Find_Friends.html,87630,1963,JCHAT - Users,yes,yes,4,0,2,1,2,2
./Friends.html,73216,1636,JCHAT - My Friends,yes,yes,4,0,2,1,2,3
./Friends_list.html,77111,1749,JCHAT - My Friends,yes,yes,9,0,2,1,2,2
./Group_Chat.html,85184,1970,GROUPS - Group Chat,yes,yes,3,0,2,1,2,5
./Groups.html,184413,4095,JCHAT - Groups,yes,yes,5,0,1,0,2,6
./Guide.html,76800,1586,JCHAT - User Guide,yes,yes,33,0,2,1,2,1
./Home.html,377676,7328,JCHAT - Home,yes,yes,27,0,2,1,2,10
./Jcoin.html,47069,1143,JCHAT - JCoin Code Generator (Admin),yes,yes,6,0,1,0,2,1
./Levels.html,58662,1274,JCHAT - User Levels,yes,yes,12,0,1,0,2,1
./Login.html,89365,1932,JCHAT - Welcome & Account Access,yes,yes,4,1,1,0,2,1
./Manage.html,227061,4506,JCHAT - Admin Dashboard,yes,yes,4,0,2,1,2,4
./Message.html,72627,1745,JCHAT - Chat,yes,yes,11,0,1,0,2,2
./Privacy_Settings.html,77939,1695,JCHAT - Privacy Settings,yes,yes,2,0,2,1,2,1
./Private_Chat.html,152905,3396,JCHAT - Private Chat,yes,yes,4,0,2,1,2,4
./Profile.html,359880,7293,JCHAT - Profile,yes,yes,13,1,2,1,2,5
./Report.html,63025,1537,JCHAT - Report an Issue,yes,yes,5,0,2,1,2,1
./Settings.html,95701,2032,JCHAT - Settings,yes,yes,3,1,2,1,2,0
./Swap.html,61370,1462,JCHAT - Token Swap,yes,yes,4,0,2,1,2,1
./System_Settings.html,53251,1308,JCHAT - Admin: System Settings,yes,yes,11,0,1,0,2,1
./User_management.html,85907,1931,JCHAT - Admin Management,yes,yes,2,0,1,0,2,3
./Wallet.html,12470,234,JCHAT - Wallet,yes,yes,3,0,1,0,2,0
./admin_groups.html,81922,1972,JCHAT Admin - Group Management,yes,yes,11,0,2,1,2,1
./admin_logs.html,68069,1574,JCHAT - Admin Panel - Activity Logs,yes,yes,13,0,2,0,2,1
./analytics_dashboard.html,50217,1255,JCHAT - Admin: Analytics Dashboard,yes,yes,11,0,1,0,2,1
./coin_requests_admin.html,59465,1436,JCHAT - Admin: Coin Requests,yes,yes,10,0,1,0,2,1
./gas_management.html,248257,4858,JCHAT - Admin Dashboard,yes,yes,5,0,2,1,2,5
./group_settings.html,104499,2361,JCHAT - Group Settings,yes,yes,4,0,1,0,2,3
./jcoin_shop.html,20435,430,JCHAT - Emoji Premium Store,yes,yes,1,0,1,0,2,0
./jg_link_management.html,48603,1156,JCHAT - J/G Link Management,yes,yes,4,0,2,1,2,1
./notifications.html,103677,2442,JCHAT - Enhanced Notifications,yes,yes,9,0,2,1,2,1
./offline.html,1759,39,JCHAT - Offline,yes,yes,1,0,0,0,0,0
./solution_center.html,72917,1582,JCHAT - Solution Center,yes,yes,17,2,2,1,2,1
